Name;Coordinates;Latitude;Longitude
Seabrook Station Nuclear Power Station;-70.8508333333333,42.8988888888889,0;42.8988888888889;-70.8508333333333
Sendai Nuclear Power Station;130.189722222222,31.8336111111111,0;31.8336111111111;130.189722222222
Sequoyah Nuclear Power Station;-85.0916666666667,35.2263888888889,0;35.2263888888889;-85.0916666666667
Shika Nuclear Power Station;136.726388888889,37.0611111111111,0;37.0611111111111;136.726388888889
Sizewell-B Nuclear Power Station;1.61861111111111,52.2133333333333,0;52.2133333333333;1.61861111111111
Smolensk Nuclear Power Station;33.2466666666667,54.1691666666667,0;54.1691666666667;33.2466666666667
South Texas Nuclear Power Station;-96.0488888888889,28.7955555555556,0;28.7955555555556;-96.0488888888889
South Ukraine Nuclear Power Station;31.2166666666667,47.8166666666667,0;47.8166666666667;31.2166666666667
Surry Nuclear Power Station;-76.6977777777778,37.1655555555556,0;37.1655555555556;-76.6977777777778
Susquehanna Nuclear Power Station;-76.1488888888889,41.0888888888889,0;41.0888888888889;-76.1488888888889
Taishan;112.979166666667,21.9094444444444,0;21.9094444444444;112.979166666667
Takahama Nuclear Power Station;135.504722222222,35.5222222222222,0;35.5222222222222;135.504722222222
Tarapur Nuclear Power Station;72.6611111111111,19.8277777777778,0;19.8277777777778;72.6611111111111
Temelin Nuclear Power Station;14.3761111111111,49.18,0;49.18;14.3761111111111
Tianwan Nuclear Power Station;119.459722222222,34.6869444444444,0;34.6869444444444;119.459722222222
Tihange Nuclear Power Station;5.2725,50.5347222222222,0;50.5347222222222;5.2725
Tokai Nuclear Power Station;140.606666666667,36.4663888888889,0;36.4663888888889;140.606666666667
Tomari Nuclear Power Station;140.5125,43.0361111111111,0;43.0361111111111;140.5125
Torness Nuclear Power Station;-2.40916666666667,55.9680555555556,0;55.9680555555556;-2.40916666666667
Tricastin Nuclear Power Station;4.73222222222222,44.3297222222222,0;44.3297222222222;4.73222222222222
Trillo Nuclear Power Station;-2.62194444444444,40.7011111111111,0;40.7011111111111;-2.62194444444444
Tsuruga Nuclear Power Station;136.077222222222,35.6727777777778,0;35.6727777777778;136.077222222222
Turkey Point Nuclear Generating Station;-80.3305555555555,25.4341666666667,0;25.4341666666667;-80.3305555555555
Vandellos Nuclear Power Station;0.866666666666667,40.9513888888889,0;40.9513888888889;0.866666666666667
Vogtle Nuclear Power Station;-81.7658333333333,33.1430555555556,0;33.1430555555556;-81.7658333333333
Waterford Nuclear Power Station;-90.4711111111111,29.9952777777778,0;29.9952777777778;-90.4711111111111
Watts Bar Nuclear Generating Station;-84.7894444444444,35.6027777777778,0;35.6027777777778;-84.7894444444444
Wolf Creek Power Station;-95.6888888888889,38.2388888888889,0;38.2388888888889;-95.6888888888889
Wolseong Nuclear Power Station;129.475,35.7111111111111,0;35.7111111111111;129.475
Yangjiang Nuclear Power Plant;112.260555555556,21.7097222222222,0;21.7097222222222;112.260555555556
Zaporizhzhia Nuclear Power Plant;34.5858333333333,47.5122222222222,0;47.5122222222222;34.5858333333333
